Symbol,Name,Sector,Industry
NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors
GOOGL,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing
GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing
MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors
SPCX,Space Exploration Technologies Corp. Class A Common Stock,Technology,Computer Software: Programming Data Processing
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors
TSLA,Tesla Inc. Common Stock,Industrials,Auto Manufacturing
META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing
MU,Micron Technology Inc. Common Stock,Technology,Semiconductors
BRK/A,Berkshire Hathaway Inc.,Others,Others
BRK/B,Berkshire Hathaway Inc.,Others,Others
LLY,Eli Lilly and Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
WMT,Walmart Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
JPM,JP Morgan Chase & Co. Common Stock,Finance,Major Banks
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors
ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components
INTC,Intel Corporation Common Stock,Technology,Semiconductors
V,Visa Inc.,Consumer Discretionary,Business Services
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,Technology,Computer Software: Programming Data Processing
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,Technology,Computer Software: Programming Data Processing
JNJ,Johnson & Johnson Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AZN,AstraZeneca PLC Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
XOM,Exxon Mobil Corporation Common Stock,Energy,Integrated oil Companies
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors
LRCX,Lam Research Corporation Common Stock,Technology,Industrial Machinery/Components
CAT,Caterpillar Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks
CSCO,Cisco Systems Inc. Common Stock (DE),Telecommunications,Computer Communications Equipment
ORCL,Oracle Corporation Common Stock,Technology,Computer Software: Prepackaged Software
MA,Mastercard Incorporated Common Stock,Consumer Discretionary,Business Services
ABBV,AbbVie Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
COST,Costco Wholesale Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
BAC,Bank of America Corporation Common Stock,Finance,Major Banks
GE,GE Aerospace Common Stock,Technology,Consumer Electronics/Appliances
UNH,UnitedHealth Group Incorporated Common Stock (DE),Health Care,Medical Specialities
ARM,Arm Holdings plc American Depositary Shares,Technology,Semiconductors
MS,Morgan Stanley Common Stock,Finance,Investment Bankers/Brokers/Service
KO,Coca-Cola Company (The) Common Stock,Consumer Staples,Beverages (Production/Distribution)
PG,Procter & Gamble Company (The) Common Stock,Consumer Discretionary,Package Goods/Cosmetics
SNDK,Sandisk Corporation Common Stock,Technology,Electronic Components
HD,Home Depot Inc. (The) Common Stock,Consumer Discretionary,RETAIL: Building Materials
CVX,Chevron Corporation Common Stock,Energy,Integrated oil Companies
KLAC,KLA Corporation Common Stock,Technology,Electronic Components
HSBC,HSBC Holdings plc. Common Stock,Finance,Savings Institutions
GS,Goldman Sachs Group Inc. (The) Common Stock,Finance,Investment Bankers/Brokers/Service
MRK,Merck & Company Inc. Common Stock (new),Health Care,Biotechnology: Pharmaceutical Preparations
NFLX,Netflix Inc. Common Stock,Consumer Discretionary,Consumer Electronics/Video Chains
NVS,Novartis AG Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
GEV,GE Vernova Inc. Common Stock,Others,Others
TXN,Texas Instruments Incorporated Common Stock,Technology,Semiconductors
RY,Royal Bank Of Canada Common Stock,Finance,Commercial Banks
PM,Philip Morris International Inc Common Stock,Health Care,Medicinal Chemicals and Botanical Products
DELL,Dell Technologies Inc. Class C Common Stock,Technology,Computer Manufacturing
TM,Toyota Motor Corporation Common Stock,Industrials,Auto Manufacturing
WFC,Wells Fargo & Company Common Stock,Finance,Major Banks
PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
RTX,RTX Corporation Common Stock,Industrials,Aerospace
C,Citigroup Inc. Common Stock,Finance,Major Banks
MRVL,Marvell Technology Inc. Common Stock,Technology,Semiconductors
IBM,International Business Machines Corporation Common Stock,Technology,Computer Manufacturing
LIN,Linde plc Ordinary Shares,Basic Materials,Major Chemicals
PANW,Palo Alto Networks Inc. Common Stock,Technology,Computer peripheral equipment
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,Finance,Commercial Banks
CCZ,Comcast Holdings ZONES,Telecommunications,Cable & Other Pay Television Services
AXP,American Express Company Common Stock,Finance,Finance: Consumer Services
WDC,Western Digital Corporation Common Stock,Technology,Electronic Components
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),Technology,Electronic Components
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares),Energy,Oil & Gas Production
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,Consumer Discretionary,Business Services
QCOM,QUALCOMM Incorporated Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
NVO,Novo Nordisk A/S Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANET,Arista Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Energy,Coal Mining
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors
APH,Amphenol Corporation Common Stock,Technology,Electrical Products
TD,Toronto Dominion Bank (The) Common Stock,Finance,Commercial Banks
SAN,Banco Santander S.A. Sponsored ADR (Spain),Finance,Commercial Banks
TMUS,T-Mobile US Inc. Common Stock,Telecommunications,Telecommunications Equipment
GLW,Corning Incorporated Common Stock,Industrials,Telecommunications Equipment
VZ,Verizon Communications Inc. Common Stock,Telecommunications,Telecommunications Equipment
PEP,PepsiCo Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MCD,McDonald's Corporation Common Stock,Consumer Discretionary,Restaurants
TMO,Thermo Fisher Scientific Inc Common Stock,Industrials,Industrial Machinery/Components
NEE,NextEra Energy Inc. Common Stock,Technology,EDP Services
SAP,SAP  SE ADS,Technology,Computer Software: Prepackaged Software
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BA,Boeing Company (The) Common Stock,Industrials,Aerospace
TJX,TJX Companies Inc. (The) Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
TTE,TotalEnergies SE Ordinary Shares,Energy,Oil & Gas Production
DE,Deere & Company Common Stock,Industrials,Industrial Machinery/Components
DIS,Walt Disney Company (The) Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
ETN,Eaton Corporation PLC Ordinary Shares,Technology,Industrial Machinery/Components
ABT,Abbott Laboratories Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
UNP,Union Pacific Corporation Common Stock,Industrials,Railroads
WELL,Welltower Inc. Common Stock,Real Estate,Real Estate Investment Trusts
IBKR,Interactive Brokers Group Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service
T,AT&T Inc.,Telecommunications,Telecommunications Equipment
SCHW,Charles Schwab Corporation (The) Common Stock,Finance,Investment Bankers/Brokers/Service
UBS,UBS Group AG Registered Ordinary Shares,Finance,Major Banks
GILD,Gilead Sciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),Finance,Commercial Banks
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Consumer Staples,Beverages (Production/Distribution)
BLK,BlackRock Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
APP,Applovin Corporation Class A Common Stock,Technology,Computer Software: Programming Data Processing
UBER,Uber Technologies Inc. Common Stock,Consumer Discretionary,Business Services
HON,Honeywell International Inc. Common Stock,Industrials,Aerospace
TBB,AT&T Inc. 5.350% Global Notes due 2066,Telecommunications,Telecommunications Equipment
SCCO,Southern Copper Corporation Common Stock,Basic Materials,Metal Mining
SHOP,Shopify Inc. Class A Subordinate Voting Shares,Technology,Computer Software: Prepackaged Software
ISRG,Intuitive Surgical Inc. Common Stock,Health Care,Industrial Specialties
HONAV,Honeywell Aerospace Inc. Common Stock When Issued,Industrials,Aerospace
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Finance,Commercial Banks
BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,Transportation Services
DHR,Danaher Corporation Common Stock,Industrials,Industrial Machinery/Components
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,Health Care,Medicinal Chemicals and Botanical Products
UL,Unilever PLC American Depositary Shares (each representing One Ordinary Share),Consumer Discretionary,Package Goods/Cosmetics
PFE,Pfizer Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CVS,CVS Health Corporation Common Stock,Consumer Staples,Retail-Drug Stores and Proprietary Stores
PLD,Prologis Inc. Common Stock,Real Estate,Real Estate Investment Trusts
HDB,HDFC Bank Limited Common Stock,Finance,Commercial Banks
COP,ConocoPhillips Common Stock,Energy,Integrated oil Companies
CB,Chubb Limited  Common Stock,Finance,Property-Casualty Insurers
COF,Capital One Financial Corporation Common Stock,Finance,Major Banks
PGR,Progressive Corporation (The) Common Stock,Finance,Property-Casualty Insurers
VRT,Vertiv Holdings LLC Class A Common Stock,Technology,Industrial Machinery/Components
PH,Parker-Hannifin Corporation Common Stock,Industrials,Metal Fabrications
LOW,Lowe's Companies Inc. Common Stock,Consumer Discretionary,RETAIL: Building Materials
BMO,Bank Of Montreal Common Stock,Finance,Commercial Banks
CRM,Salesforce Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ENB,Enbridge Inc Common Stock,Energy,Natural Gas Distribution
MO,Altria Group Inc.,Health Care,Medicinal Chemicals and Botanical Products
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
SYK,Stryker Corporation Common Stock,Health Care,Medical/Dental Instruments
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),Finance,Major Banks
RIO,Rio Tinto Plc Common Stock,Basic Materials,Metal Mining
SONY,Sony Group Corporation American Depositary Shares,Consumer Staples,Consumer Electronics/Appliances
SBUX,Starbucks Corporation Common Stock,Consumer Discretionary,Restaurants
SPGI,S&P Global Inc. Common Stock,Finance,Finance: Consumer Services
LMT,Lockheed Martin Corporation Common Stock,Industrials,Military/Government/Technical
BMY,Bristol-Myers Squibb Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
TT,Trane Technologies plc,Industrials,Auto Parts:O.E.M.
FTNT,Fortinet Inc. Common Stock,Technology,Computer peripheral equipment
HWM,Howmet Aerospace Inc. Common Stock,Industrials,Metal Fabrications
SO,Southern Company (The) Common Stock,Utilities,Electric Utilities: Central
PWR,Quanta Services Inc. Common Stock,Industrials,Engineering & Construction
EQIX,Equinix Inc. Common Stock REIT,Real Estate,Real Estate Investment Trusts
PBR,Petroleo Brasileiro S.A. Petrobras ADS,Energy,Oil & Gas Production
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,Finance,Major Banks
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),Health Care,Biotechnology: Pharmaceutical Preparations
BN,Brookfield Corporation Class A Limited Voting Shares,Real Estate,Building operators
CM,Canadian Imperial Bank of Commerce Common Stock,Finance,Commercial Banks
PDD,PDD Holdings Inc. American Depositary Shares,Technology,EDP Services
IBN,ICICI Bank Limited Common Stock,Finance,Commercial Banks
MDT,Medtronic plc. Ordinary Shares,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SNY,Sanofi ADS,Health Care,Biotechnology: Pharmaceutical Preparations
NEM,Newmont Corporation,Basic Materials,Precious Metals
CDNS,Cadence Design Systems Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CMI,Cummins Inc. Common Stock,Industrials,Industrial Machinery/Components
MAR,Marriott International Class A Common Stock,Consumer Discretionary,Hotels/Resorts
BNY,The Bank of New York Mellon Corporation Common Stock,Finance,Major Banks
DUK,Duke Energy Corporation (Holding Company) Common Stock,Utilities,Power Generation
PNC,PNC Financial Services Group Inc. (The) Common Stock,Finance,Major Banks
BP,BP p.l.c. Common Stock,Energy,Integrated oil Companies
CEG,Constellation Energy Corporation Common Stock,Utilities,Electric Utilities: Central
USB,U.S. Bancorp Common Stock,Finance,Major Banks
BCS,Barclays PLC Common Stock,Finance,Commercial Banks
WMB,Williams Companies Inc. (The) Common Stock,Utilities,Natural Gas Distribution
MNST,Monster Beverage Corporation,Consumer Staples,Beverages (Production/Distribution)
GD,General Dynamics Corporation Common Stock,Industrials,Marine Transportation
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares),Technology,Semiconductors
UPS,United Parcel Service Inc. Common Stock,Industrials,Trucking Freight/Courier Services
NOW,ServiceNow Inc. Common Stock,Technology,Computer Software: Prepackaged Software
MCK,McKesson Corporation Common Stock,Health Care,Other Pharmaceuticals
SPOT,Spotify Technology S.A. Ordinary Shares,Consumer Discretionary,Broadcasting
FCX,Freeport-McMoRan Inc. Common Stock,Basic Materials,Metal Mining
ING,ING Group N.V. Common Stock,Finance,Commercial Banks
WM,Waste Management Inc. Common Stock,Utilities,Environmental Services
JCI,Johnson Controls International plc Ordinary Share,Industrials,Industrial Machinery/Components
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),Finance,Major Banks
CSX,CSX Corporation Common Stock,Industrials,Railroads
BE,Bloom Energy Corporation Class A Common Stock,Energy,Industrial Machinery/Components
MMM,3M Company Common Stock,Health Care,Medical/Dental Instruments
SNPS,Synopsys Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADP,Automatic Data Processing Inc. Common Stock,Industrials,Diversified Commercial Services
RCL,Royal Caribbean Cruises Ltd. Common Stock,Consumer Discretionary,Marine Transportation
HCA,HCA Healthcare Inc. Common Stock,Health Care,Hospital/Nursing Management
ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Diversified Commercial Services
LYG,Lloyds Banking Group Plc American Depositary Shares,Finance,Commercial Banks
BX,Blackstone Inc. Common Stock,Finance,Investment Managers
HOOD,Robinhood Markets Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service
ELV,Elevance Health Inc. Common Stock,Health Care,Medical Specialities
ACN,Accenture plc Class A Ordinary Shares (Ireland),Consumer Discretionary,Business Services
SHW,Sherwin-Williams Company (The) Common Stock,Consumer Discretionary,RETAIL: Building Materials
KKR,KKR & Co. Inc. Common Stock,Finance,Investment Managers
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,Utilities,Natural Gas Distribution
CNQ,Canadian Natural Resources Limited Common Stock,Energy,Oil & Gas Production
RACE,Ferrari N.V. Common Shares,Industrials,Auto Manufacturing
MELI,MercadoLibre Inc. Common Stock,Consumer Discretionary,Business Services
CME,CME Group Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service
EMR,Emerson Electric Company Common Stock,Technology,Consumer Electronics/Appliances
CMCSA,Comcast Corporation Class A Common Stock,Telecommunications,Cable & Other Pay Television Services
NOK,Nokia Corporation Sponsored American Depositary Shares,Technology,Radio And Television Broadcasting And Communications Equipment
NET,Cloudflare Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
EPD,Enterprise Products Partners L.P. Common Stock,Utilities,Natural Gas Distribution
COHR,Coherent Corp. Common Stock,Technology,Electronic Components
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,Telecommunications,Telecommunications Equipment
ECL,Ecolab Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
EQNR,Equinor ASA,Energy,Integrated oil Companies
SNOW,Snowflake Inc. Common Stock,Technology,Computer Software: Prepackaged Software
DDOG,Datadog Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
FDX,FedEx Corporation Common Stock,Consumer Discretionary,Air Freight/Delivery Services
AMT,American Tower Corporation (REIT) Common Stock,Real Estate,Real Estate Investment Trusts
MDLZ,Mondelez International Inc. Class A Common Stock,Consumer Staples,Packaged Foods
AEM,Agnico Eagle Mines Limited Common Stock,Basic Materials,Precious Metals
MRSH,Marsh Common Stock,Finance,Specialty Insurers
ITW,Illinois Tool Works Inc. Common Stock,Industrials,Industrial Machinery/Components
CP,Canadian Pacific Kansas City Limited Common Shares,Industrials,Railroads
HLT,Hilton Worldwide Holdings Inc. Common Stock,Consumer Discretionary,Hotels/Resorts
DASH,DoorDash Inc. Class A Common Stock,Technology,EDP Services
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software
MCO,Moody's Corporation Common Stock,Finance,Finance: Consumer Services
VLO,Valero Energy Corporation Common Stock,Energy,Integrated oil Companies
CRH,CRH PLC Ordinary Shares,Industrials,Building Materials
NXPI,NXP Semiconductors N.V. Common Stock,Technology,Semiconductors
CI,The Cigna Group Common Stock,Health Care,Medical Specialities
AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central
TDG,Transdigm Group Incorporated Common Stock,Industrials,Military/Government/Technical
MPC,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies
TER,Teradyne Inc. Common Stock,Industrials,Electrical Products
E,ENI S.p.A. Common Stock,Energy,Oil & Gas Production
KMI,Kinder Morgan Inc. Common Stock,Utilities,Natural Gas Distribution
NTES,NetEase Inc. American Depositary Shares,Technology,Computer Software: Prepackaged Software
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,Consumer Discretionary,Other Consumer Services
CNI,Canadian National Railway Company Common Stock,Industrials,Railroads
SPG,Simon Property Group Inc. Common Stock,Real Estate,Real Estate Investment Trusts
TRP,TC Energy Corporation Common Stock,Utilities,Natural Gas Distribution
CL,Colgate-Palmolive Company Common Stock,Consumer Discretionary,Package Goods/Cosmetics
CVNA,Carvana Co. Class A Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ORLY,O'Reilly Automotive Inc. Common Stock,Consumer Discretionary,Auto & Home Supply Stores
URI,United Rentals Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services
NWG,NatWest Group plc American Depositary Shares (each representing two (2) Ordinary Shares),Finance,Commercial Banks
EOG,EOG Resources Inc. Common Stock,Energy,Oil & Gas Production
FIX,Comfort Systems USA Inc. Common Stock,Industrials,Engineering & Construction
NOC,Northrop Grumman Corporation Common Stock,Industrials,Industrial Machinery/Components
SLB,SLB Limited Common Shares,Energy,Oilfield Services/Equipment
GM,General Motors Company Common Stock,Industrials,Auto Manufacturing
MPWR,Monolithic Power Systems Inc. Common Stock,Technology,Semiconductors
ICE,Intercontinental Exchange Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
NSC,Norfolk Southern Corporation Common Stock,Industrials,Railroads
APO,Apollo Global Management Inc. (New) Common Stock,Finance,Investment Managers
UMC,United Microelectronics Corporation (NEW) Common Stock,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,Technology,Computer Software: Prepackaged Software
BRKRP,Bruker Corporation 6.375% Mandatory Convertible Preferred Stock Series A,Industrials,Biotechnology: Laboratory Analytical Instruments
ROST,Ross Stores Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
PSX,Phillips 66 Common Stock,Energy,Integrated oil Companies
CIEN,Ciena Corporation Common Stock,Utilities,Telecommunications Equipment
ALAB,Astera Labs Inc. Common Stock,Technology,Semiconductors
TRV,The Travelers Companies Inc. Common Stock,Finance,Property-Casualty Insurers
CTAS,Cintas Corporation Common Stock,Industrials,Garments and Clothing
WBD,Warner Bros. Discovery Inc. Series A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
DLR,Digital Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
AON,Aon plc Class A Ordinary Shares (Ireland),Finance,Specialty Insurers
LITE,Lumentum Holdings Inc. Common Stock,Telecommunications,Telecommunications Equipment
MFC,Manulife Financial Corporation Common Stock,Finance,Life Insurance
STM,STMicroelectronics N.V. Common Stock,Technology,Semiconductors
ET,Energy Transfer LP Common Units,Utilities,Natural Gas Distribution
MSI,Motorola Solutions Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
BSX,Boston Scientific Corporation Common Stock,Health Care,Medical/Dental Instruments
RSG,Republic Services Inc. Common Stock,Utilities,Environmental Services
NBIS,Nebius Group N.V. Class A Ordinary Shares,Technology,Computer Software: Programming Data Processing
REGN,Regeneron Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
GWW,W.W. Grainger Inc. Common Stock,Industrials,Office Equipment/Supplies/Services
DB,Deutsche Bank AG Common Stock,Finance,Major Banks
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,Basic Materials,Metal Mining
SU,Suncor Energy  Inc. Common Stock,Energy,Integrated oil Companies
PCAR,PACCAR Inc. Common Stock,Consumer Discretionary,Motor Vehicles
CARR,Carrier Global Corporation Common Stock,Industrials,Industrial Machinery/Components
TGT,Target Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
TFC,Truist Financial Corporation Common Stock,Finance,Major Banks
APD,Air Products and Chemicals Inc. Common Stock,Basic Materials,Major Chemicals
HPE,Hewlett Packard Enterprise Company Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
B,Barrick Mining Corporation Common Shares,Basic Materials,Precious Metals
KEYS,Keysight Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components
D,Dominion Energy Inc. Common Stock,Utilities,Electric Utilities: Central
SRE,DBA Sempra Common Stock,Utilities,Natural Gas Distribution
NKE,Nike Inc. Common Stock,Consumer Discretionary,Shoe Manufacturing
DAL,Delta Air Lines Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
NU,Nu Holdings Ltd. Class A Ordinary Shares,Finance,Finance: Consumer Services
AFL,AFLAC Incorporated Common Stock,Finance,Accident &Health Insurance
ALL,Allstate Corporation (The) Common Stock,Finance,Property-Casualty Insurers
FLEX,Flex Ltd. Ordinary Shares,Technology,Electrical Products
TRGP,Targa Resources Inc. Common Stock,Utilities,Natural Gas Distribution
TEL,TE Connectivity plc Ordinary Shares,Technology,Electronic Components
O,Realty Income Corporation Common Stock,Real Estate,Real Estate Investment Trusts
MPLX,MPLX LP Common Units Representing Limited Partner Interests,Energy,Natural Gas Distribution
NUE,Nucor Corporation Common Stock,Industrials,Steel/Iron Ore
VST,Vistra Corp. Common Stock,Utilities,Electric Utilities: Central
BKR,Baker Hughes Company Class A Common Stock,Consumer Discretionary,Oil and Gas Field Machinery
OKE,ONEOK Inc. Common Stock,Utilities,Oil & Gas Production
RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),Consumer Discretionary,Business Services
PSA,Public Storage Common Stock,Real Estate,Real Estate Investment Trusts
F,Ford Motor Company Common Stock,Industrials,Auto Manufacturing
SOMN,Southern Company (The) 2025 Series A Corporate Units,Basic Materials,Metal Mining
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Specialty Insurers
COR,Cencora Inc. Common Stock,Health Care,Other Pharmaceuticals
AME,AMETEK Inc.,Industrials,Industrial Machinery/Components
ARGX,argenx SE American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CAH,Cardinal Health Inc. Common Stock,Health Care,Other Pharmaceuticals
IMO,Imperial Oil Limited Common Stock,Energy,Integrated oil Companies
CTVA,Corteva Inc. Common Stock,Consumer Staples,Farming/Seeds/Milling
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,Consumer Discretionary,Other Consumer Services
MET,MetLife Inc. Common Stock,Finance,Life Insurance
CRWV,CoreWeave Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
FAST,Fastenal Company Common Stock,Consumer Discretionary,RETAIL: Building Materials
LHX,L3Harris Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components
ROK,Rockwell Automation Inc. Common Stock,Industrials,Industrial Machinery/Components
ETR,Entergy Corporation Common Stock,Utilities,Electric Utilities: Central
EW,Edwards Lifesciences Corporation Common Stock,Health Care,Industrial Specialties
FANG,Diamondback Energy Inc. Common Stock,Energy,Oil & Gas Production
WPM,Wheaton Precious Metals Corp Common Shares (Canada),Basic Materials,Precious Metals
EA,Electronic Arts Inc. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
FITB,Fifth Third Bancorp Common Stock,Finance,Major Banks
HBANL,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,Finance,Major Banks
XEL,Xcel Energy Inc. Common Stock,Utilities,Power Generation
MCHP,Microchip Technology Incorporated Common Stock,Technology,Semiconductors
OXY,Occidental Petroleum Corporation Common Stock,Energy,Oil & Gas Production
FER,Ferrovial N.V. Ordinary Shares,Industrials,Military/Government/Technical
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,Technology,Semiconductors
AZO,AutoZone Inc. Common Stock,Consumer Discretionary,Auto & Home Supply Stores
MDLN,Medline Inc. Class A Common Stock,Health Care,Medical/Dental Instruments
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Consumer Staples,Beverages (Production/Distribution)
LNG,Cheniere Energy Inc. Common Stock,Utilities,Oil/Gas Transmission
DVN,Devon Energy Corporation Common Stock,Energy,Oil & Gas Production
EBAY,eBay Inc. Common Stock,Consumer Discretionary,Business Services
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,Industrials,Railroads
GFS,GlobalFoundries Inc. Ordinary Shares,Technology,Semiconductors
EXC,Exelon Corporation Common Stock,Utilities,Power Generation
HEI,Heico Corporation Common Stock,Industrials,Aerospace
DHI,D.R. Horton Inc. Common Stock,Consumer Discretionary,Homebuilding
FERG,Ferguson Enterprises Inc. Common Stock,Miscellaneous,Miscellaneous
MT,Arcelor Mittal NY Registry Shares NEW,Industrials,Steel/Iron Ore
STT,State Street Corporation Common Stock,Finance,Major Banks
RKLB,Rocket Lab Corporation Common Stock,Industrials,Military/Government/Technical
ON,ON Semiconductor Corporation Common Stock,Technology,Semiconductors
BMNP,BitMine Immersion Technologies Inc. 9.5% Series A Perpetual Preferred Stock,Finance,Finance: Consumer Services
CVE,Cenovus Energy Inc Common Stock,Energy,Oil & Gas Production
DEO,Diageo plc Common Stock,Consumer Staples,Beverages (Production/Distribution)
VIK,Viking Holdings Ltd Ordinary Shares,Consumer Discretionary,Marine Transportation
ODFL,Old Dominion Freight Line Inc. Common Stock,Industrials,Trucking Freight/Courier Services
PCG,Pacific Gas & Electric Co. Common Stock,Utilities,Power Generation
BTSGU,BrightSpring Health Services Inc. Tangible Equity Unit,Health Care,Medical/Nursing Services
GRMN,Garmin Ltd. Common Stock (Switzerland),Industrials,Industrial Machinery/Components
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,Consumer Staples,Beverages (Production/Distribution)
HUM,Humana Inc. Common Stock,Health Care,Medical Specialities
CCJ,Cameco Corporation Common Stock,Basic Materials,Other Metals and Minerals
TTWO,Take-Two Interactive Software Inc. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
KDP,Keurig Dr Pepper Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
